RunID,SupplierID,MaterialLot,MaterialCost,OnTimeDelivery
241,1,LOT-00241,121.4,1
242,2,LOT-00242,297.0,1
243,3,LOT-00243,232.2,1
244,4,LOT-00244,263.29,1
245,5,LOT-00245,499.14,0
246,1,LOT-00246,410.05,0
247,2,LOT-00247,450.96,0
248,3,LOT-00248,247.43,1
249,4,LOT-00249,195.82,0
250,5,LOT-00250,407.2,1
251,1,LOT-00251,423.03,1
252,2,LOT-00252,319.96,0
253,3,LOT-00253,458.38,0
254,4,LOT-00254,486.93,0
255,5,LOT-00255,288.41,1
256,1,LOT-00256,189.07,0
257,2,LOT-00257,306.85,0
258,3,LOT-00258,495.81,0
259,4,LOT-00259,217.17,0
260,5,LOT-00260,347.04,0
261,1,LOT-00261,377.59,1
262,2,LOT-00262,185.57,1
263,3,LOT-00263,335.38,1
264,4,LOT-00264,225.8,1
265,5,LOT-00265,441.68,0
266,1,LOT-00266,385.9,0
267,2,LOT-00267,430.51,0
268,3,LOT-00268,179.87,1
269,4,LOT-00269,113.83,0
270,5,LOT-00270,440.21,1
271,1,LOT-00271,254.7,1
272,2,LOT-00272,171.89,1
273,3,LOT-00273,136.76,1
274,4,LOT-00274,306.6,0
275,5,LOT-00275,160.05,1
276,1,LOT-00276,326.68,1
277,2,LOT-00277,390.92,0
278,3,LOT-00278,314.02,0
279,4,LOT-00279,461.48,0
280,5,LOT-00280,162.23,0
281,1,LOT-00281,297.58,0
282,2,LOT-00282,165.28,0
283,3,LOT-00283,450.36,1
284,4,LOT-00284,472.9,0
285,5,LOT-00285,260.0,1
286,1,LOT-00286,222.3,0
287,2,LOT-00287,211.73,0
288,3,LOT-00288,443.89,0
289,4,LOT-00289,372.98,0
290,5,LOT-00290,452.24,1
291,1,LOT-00291,147.01,0
292,2,LOT-00292,290.41,0
293,3,LOT-00293,370.47,0
294,4,LOT-00294,458.84,0
295,5,LOT-00295,252.81,0
296,1,LOT-00296,225.24,0
297,2,LOT-00297,465.19,0
298,3,LOT-00298,119.01,0
299,4,LOT-00299,291.84,0
300,5,LOT-00300,283.45,1
301,1,LOT-00301,158.42,0
302,2,LOT-00302,257.98,1
303,3,LOT-00303,389.04,0
304,4,LOT-00304,246.75,0
305,5,LOT-00305,223.86,1
306,1,LOT-00306,412.76,0
307,2,LOT-00307,495.49,1
308,3,LOT-00308,411.74,0
309,4,LOT-00309,438.54,1
310,5,LOT-00310,475.8,0
311,1,LOT-00311,420.71,1
312,2,LOT-00312,492.14,0
313,3,LOT-00313,398.91,0
314,4,LOT-00314,364.61,1
315,5,LOT-00315,377.34,0
316,1,LOT-00316,460.03,1
317,2,LOT-00317,373.2,0
318,3,LOT-00318,404.48,1
319,4,LOT-00319,186.4,1
320,5,LOT-00320,465.06,0
321,1,LOT-00321,278.89,1
322,2,LOT-00322,164.43,0
323,3,LOT-00323,419.91,0
324,4,LOT-00324,242.56,0
325,5,LOT-00325,173.65,1
326,1,LOT-00326,202.5,1
327,2,LOT-00327,113.98,0
328,3,LOT-00328,136.25,1
329,4,LOT-00329,337.05,0
330,5,LOT-00330,446.49,0
331,1,LOT-00331,279.41,0
332,2,LOT-00332,350.42,1
333,3,LOT-00333,423.89,0
334,4,LOT-00334,242.71,1
335,5,LOT-00335,361.73,1
336,1,LOT-00336,240.17,0
337,2,LOT-00337,357.09,0
338,3,LOT-00338,187.04,1
339,4,LOT-00339,491.14,0
340,5,LOT-00340,130.47,1
341,1,LOT-00341,302.09,0
342,2,LOT-00342,214.52,0
343,3,LOT-00343,340.34,1
344,4,LOT-00344,271.32,0
345,5,LOT-00345,222.67,0
346,1,LOT-00346,200.02,1
347,2,LOT-00347,173.0,1
348,3,LOT-00348,413.15,1
349,4,LOT-00349,188.88,1
350,5,LOT-00350,409.41,1
351,1,LOT-00351,294.02,0
352,2,LOT-00352,128.89,1
353,3,LOT-00353,166.18,1
354,4,LOT-00354,457.16,1
355,5,LOT-00355,341.13,1
356,1,LOT-00356,173.73,1
357,2,LOT-00357,381.51,0
358,3,LOT-00358,429.3,1
359,4,LOT-00359,232.26,1
360,5,LOT-00360,322.64,0
361,1,LOT-00361,217.38,1
362,2,LOT-00362,132.02,0
363,3,LOT-00363,259.8,0
364,4,LOT-00364,400.57,0
365,5,LOT-00365,283.47,1
366,1,LOT-00366,262.11,0
367,2,LOT-00367,246.4,1
368,3,LOT-00368,283.57,1
369,4,LOT-00369,227.29,0
370,5,LOT-00370,344.87,1
371,1,LOT-00371,125.43,1
372,2,LOT-00372,422.96,1
373,3,LOT-00373,169.27,0
374,4,LOT-00374,353.38,1
375,5,LOT-00375,279.95,1
376,1,LOT-00376,409.4,1
377,2,LOT-00377,430.46,0
378,3,LOT-00378,181.68,1
379,4,LOT-00379,370.87,0
380,5,LOT-00380,175.96,1
381,1,LOT-00381,149.6,0
382,2,LOT-00382,472.12,1
383,3,LOT-00383,165.76,0
384,4,LOT-00384,191.25,1
385,5,LOT-00385,152.13,1
386,1,LOT-00386,288.12,1
387,2,LOT-00387,467.84,1
388,3,LOT-00388,205.62,0
389,4,LOT-00389,316.74,1
390,5,LOT-00390,264.58,0
391,1,LOT-00391,234.4,0
392,2,LOT-00392,328.86,1
393,3,LOT-00393,323.56,1
394,4,LOT-00394,243.75,1
395,5,LOT-00395,440.23,1
396,1,LOT-00396,121.27,0
397,2,LOT-00397,134.1,0
398,3,LOT-00398,496.31,0
399,4,LOT-00399,399.07,0
400,5,LOT-00400,421.57,1
401,1,LOT-00401,341.08,1
402,2,LOT-00402,267.94,0
403,3,LOT-00403,351.69,0
404,4,LOT-00404,137.03,0
405,5,LOT-00405,403.11,0
406,1,LOT-00406,316.3,1
407,2,LOT-00407,482.69,0
408,3,LOT-00408,354.99,1
409,4,LOT-00409,160.68,0
410,5,LOT-00410,291.02,1
411,1,LOT-00411,123.13,1
412,2,LOT-00412,398.17,1
413,3,LOT-00413,300.73,1
414,4,LOT-00414,247.86,0
415,5,LOT-00415,487.42,0
416,1,LOT-00416,476.24,1
417,2,LOT-00417,481.13,0
418,3,LOT-00418,188.39,1
419,4,LOT-00419,391.43,0
420,5,LOT-00420,478.15,1
421,1,LOT-00421,328.35,1
422,2,LOT-00422,185.66,0
423,3,LOT-00423,427.12,1
424,4,LOT-00424,451.97,0
425,5,LOT-00425,381.29,0
426,1,LOT-00426,217.42,1
427,2,LOT-00427,176.28,0
428,3,LOT-00428,349.71,0
429,4,LOT-00429,293.12,0
430,5,LOT-00430,367.51,1
431,1,LOT-00431,144.68,1
432,2,LOT-00432,154.37,1
433,3,LOT-00433,245.16,1
434,4,LOT-00434,203.5,1
435,5,LOT-00435,347.74,1
436,1,LOT-00436,247.02,1
437,2,LOT-00437,373.59,1
438,3,LOT-00438,407.52,1
439,4,LOT-00439,174.87,0
440,5,LOT-00440,467.93,0
441,1,LOT-00441,414.86,0
442,2,LOT-00442,350.71,0
443,3,LOT-00443,463.57,1
444,4,LOT-00444,206.35,1
445,5,LOT-00445,268.69,1
446,1,LOT-00446,134.31,1
447,2,LOT-00447,282.47,0
448,3,LOT-00448,302.56,1
449,4,LOT-00449,346.43,0
450,5,LOT-00450,125.62,1
451,1,LOT-00451,112.99,0
452,2,LOT-00452,267.96,0
453,3,LOT-00453,175.65,1
454,4,LOT-00454,403.52,0
455,5,LOT-00455,367.49,1
456,1,LOT-00456,230.33,1
457,2,LOT-00457,118.31,0
458,3,LOT-00458,172.98,0
459,4,LOT-00459,376.67,0
460,5,LOT-00460,496.07,1
461,1,LOT-00461,230.58,1
462,2,LOT-00462,420.8,1
463,3,LOT-00463,446.84,0
464,4,LOT-00464,119.27,0
465,5,LOT-00465,466.49,0
466,1,LOT-00466,286.48,1
467,2,LOT-00467,485.7,1
468,3,LOT-00468,315.42,0
469,4,LOT-00469,194.06,1
470,5,LOT-00470,489.87,1
471,1,LOT-00471,197.32,1
472,2,LOT-00472,452.99,0
473,3,LOT-00473,169.25,1
474,4,LOT-00474,369.91,1
475,5,LOT-00475,264.52,0
476,1,LOT-00476,488.81,0
477,2,LOT-00477,173.91,1
478,3,LOT-00478,263.52,0
479,4,LOT-00479,355.91,1
480,5,LOT-00480,491.05,1
481,1,LOT-00481,221.55,0
482,2,LOT-00482,258.75,0
483,3,LOT-00483,284.72,1
484,4,LOT-00484,201.08,0
485,5,LOT-00485,426.94,1
486,1,LOT-00486,136.8,0
487,2,LOT-00487,381.92,1
488,3,LOT-00488,313.57,1
489,4,LOT-00489,196.77,0
490,5,LOT-00490,297.13,1
491,1,LOT-00491,431.98,1
492,2,LOT-00492,278.18,1
493,3,LOT-00493,148.76,1
494,4,LOT-00494,116.32,0
495,5,LOT-00495,411.12,1
496,1,LOT-00496,232.17,0
497,2,LOT-00497,472.5,1
498,3,LOT-00498,346.86,0
499,4,LOT-00499,274.51,0
500,5,LOT-00500,325.79,0
501,1,LOT-00501,282.85,0
502,2,LOT-00502,462.32,1
503,3,LOT-00503,283.21,1
504,4,LOT-00504,141.63,1
505,5,LOT-00505,338.84,0
506,1,LOT-00506,349.19,1
507,2,LOT-00507,406.13,0
508,3,LOT-00508,473.31,1
509,4,LOT-00509,277.23,0
510,5,LOT-00510,240.83,0
511,1,LOT-00511,296.31,0
512,2,LOT-00512,460.08,0
513,3,LOT-00513,491.99,1
514,4,LOT-00514,488.49,1
515,5,LOT-00515,191.88,0
516,1,LOT-00516,298.76,1
517,2,LOT-00517,203.79,1
518,3,LOT-00518,247.19,0
519,4,LOT-00519,112.67,1
520,5,LOT-00520,164.24,1
521,1,LOT-00521,258.83,0
522,2,LOT-00522,245.88,1
523,3,LOT-00523,211.53,0
524,4,LOT-00524,192.12,1
525,5,LOT-00525,399.58,1
526,1,LOT-00526,217.82,1
527,2,LOT-00527,382.62,0
528,3,LOT-00528,247.45,0
529,4,LOT-00529,420.79,0
530,5,LOT-00530,166.89,1
531,1,LOT-00531,163.04,1
532,2,LOT-00532,371.87,0
533,3,LOT-00533,465.97,1
534,4,LOT-00534,157.19,1
535,5,LOT-00535,129.48,0
536,1,LOT-00536,473.85,0
537,2,LOT-00537,146.93,1
538,3,LOT-00538,200.15,1
539,4,LOT-00539,471.8,0
540,5,LOT-00540,421.17,0
541,1,LOT-00541,237.1,0
542,2,LOT-00542,481.81,0
543,3,LOT-00543,327.22,1
544,4,LOT-00544,128.9,0
545,5,LOT-00545,381.23,0
546,1,LOT-00546,314.91,1
547,2,LOT-00547,329.04,0
548,3,LOT-00548,497.64,1
549,4,LOT-00549,161.01,0
550,5,LOT-00550,362.72,0
551,1,LOT-00551,283.5,1
552,2,LOT-00552,208.76,1
553,3,LOT-00553,377.42,0
554,4,LOT-00554,367.29,1
555,5,LOT-00555,442.6,1
556,1,LOT-00556,451.55,1
557,2,LOT-00557,324.73,1
558,3,LOT-00558,230.23,0
559,4,LOT-00559,311.83,0
560,5,LOT-00560,243.7,0
561,1,LOT-00561,210.94,0
562,2,LOT-00562,320.63,1
563,3,LOT-00563,363.17,0
564,4,LOT-00564,336.23,1
565,5,LOT-00565,481.77,0
566,1,LOT-00566,219.45,1
567,2,LOT-00567,248.94,0
568,3,LOT-00568,367.06,1
569,4,LOT-00569,340.14,0
570,5,LOT-00570,100.75,0
571,1,LOT-00571,224.91,0
572,2,LOT-00572,201.5,0
573,3,LOT-00573,435.97,1
574,4,LOT-00574,446.5,1
575,5,LOT-00575,213.56,1
576,1,LOT-00576,140.83,0
577,2,LOT-00577,182.08,1
578,3,LOT-00578,170.63,0
579,4,LOT-00579,194.97,1
580,5,LOT-00580,193.86,0
581,1,LOT-00581,291.94,1
582,2,LOT-00582,227.86,1
583,3,LOT-00583,323.93,0
584,4,LOT-00584,237.65,1
585,5,LOT-00585,425.87,0
586,1,LOT-00586,480.32,0
587,2,LOT-00587,261.57,1
588,3,LOT-00588,119.79,1
589,4,LOT-00589,195.83,1
590,5,LOT-00590,140.74,0
591,1,LOT-00591,237.91,0
592,2,LOT-00592,358.05,0
593,3,LOT-00593,307.56,1
594,4,LOT-00594,197.15,0
595,5,LOT-00595,406.9,0
596,1,LOT-00596,152.59,1
597,2,LOT-00597,191.28,0
598,3,LOT-00598,370.42,1
599,4,LOT-00599,178.89,0
600,5,LOT-00600,371.51,1
601,1,LOT-00601,490.78,0
602,2,LOT-00602,432.54,0
603,3,LOT-00603,164.0,1
604,4,LOT-00604,308.2,0
605,5,LOT-00605,268.93,1
606,1,LOT-00606,496.67,1
607,2,LOT-00607,485.76,1
608,3,LOT-00608,150.84,1
609,4,LOT-00609,463.49,0
610,5,LOT-00610,177.37,0
611,1,LOT-00611,227.78,0
612,2,LOT-00612,241.36,1
613,3,LOT-00613,214.73,0
614,4,LOT-00614,441.3,0
615,5,LOT-00615,231.97,1
616,1,LOT-00616,426.7,0
617,2,LOT-00617,497.75,1
618,3,LOT-00618,436.3,1
619,4,LOT-00619,238.46,0
620,5,LOT-00620,384.5,0
621,1,LOT-00621,313.57,1
622,2,LOT-00622,414.61,0
623,3,LOT-00623,161.24,0
624,4,LOT-00624,355.25,0
625,5,LOT-00625,409.47,0
626,1,LOT-00626,404.49,0
627,2,LOT-00627,485.44,1
628,3,LOT-00628,123.36,0
629,4,LOT-00629,238.31,1
630,5,LOT-00630,290.62,1
631,1,LOT-00631,223.91,0
632,2,LOT-00632,223.92,0
633,3,LOT-00633,170.45,1
634,4,LOT-00634,425.18,0
635,5,LOT-00635,463.23,0
636,1,LOT-00636,132.93,0
637,2,LOT-00637,161.96,0
638,3,LOT-00638,191.38,1
639,4,LOT-00639,303.59,1
640,5,LOT-00640,416.47,0
641,1,LOT-00641,128.58,1
642,2,LOT-00642,354.73,0
643,3,LOT-00643,159.73,0
644,4,LOT-00644,488.58,0
645,5,LOT-00645,459.51,0
646,1,LOT-00646,479.83,0
647,2,LOT-00647,142.47,1
648,3,LOT-00648,295.21,0
649,4,LOT-00649,166.1,1
650,5,LOT-00650,340.14,0
651,1,LOT-00651,193.1,0
652,2,LOT-00652,408.25,0
653,3,LOT-00653,357.6,1
654,4,LOT-00654,328.64,0
655,5,LOT-00655,430.09,0
656,1,LOT-00656,300.11,0
657,2,LOT-00657,207.94,1
658,3,LOT-00658,348.28,0
659,4,LOT-00659,482.83,0
660,5,LOT-00660,340.46,0
661,1,LOT-00661,351.85,1
662,2,LOT-00662,473.9,0
663,3,LOT-00663,306.11,1
664,4,LOT-00664,498.54,1
665,5,LOT-00665,163.86,0
666,1,LOT-00666,314.82,1
667,2,LOT-00667,185.16,1
668,3,LOT-00668,281.33,0
669,4,LOT-00669,168.23,1
670,5,LOT-00670,189.01,0
671,1,LOT-00671,184.32,1
672,2,LOT-00672,228.01,0
673,3,LOT-00673,153.84,0
674,4,LOT-00674,423.74,1
675,5,LOT-00675,188.27,0
676,1,LOT-00676,266.63,1
677,2,LOT-00677,106.42,1
678,3,LOT-00678,141.95,1
679,4,LOT-00679,458.51,0
680,5,LOT-00680,434.86,0
681,1,LOT-00681,436.37,1
682,2,LOT-00682,264.54,0
683,3,LOT-00683,156.61,0
684,4,LOT-00684,143.16,0
685,5,LOT-00685,342.24,1
686,1,LOT-00686,431.28,0
687,2,LOT-00687,460.05,0
688,3,LOT-00688,215.49,0
689,4,LOT-00689,228.41,0
690,5,LOT-00690,140.35,0
691,1,LOT-00691,409.76,0
692,2,LOT-00692,210.28,1
693,3,LOT-00693,292.37,1
694,4,LOT-00694,471.56,0
695,5,LOT-00695,400.89,0
696,1,LOT-00696,121.1,1
697,2,LOT-00697,103.26,0
698,3,LOT-00698,414.96,0
699,4,LOT-00699,321.0,0
700,5,LOT-00700,388.13,1
701,1,LOT-00701,162.73,1
702,2,LOT-00702,448.82,0
703,3,LOT-00703,409.33,0
704,4,LOT-00704,456.34,0
705,5,LOT-00705,236.44,0
706,1,LOT-00706,210.28,1
707,2,LOT-00707,160.69,0
708,3,LOT-00708,472.04,0
709,4,LOT-00709,170.73,0
710,5,LOT-00710,147.73,0
711,1,LOT-00711,177.07,0
712,2,LOT-00712,408.55,1
713,3,LOT-00713,455.81,1
714,4,LOT-00714,424.37,0
715,5,LOT-00715,325.3,0
716,1,LOT-00716,497.55,0
717,2,LOT-00717,127.54,1
718,3,LOT-00718,446.88,0
719,4,LOT-00719,271.09,1
720,5,LOT-00720,282.05,0
721,1,LOT-00721,151.04,1
722,2,LOT-00722,113.37,0
723,3,LOT-00723,226.65,0
724,4,LOT-00724,169.94,1
725,5,LOT-00725,293.34,0
726,1,LOT-00726,158.93,0
727,2,LOT-00727,155.17,0
728,3,LOT-00728,450.79,0
729,4,LOT-00729,468.52,0
730,5,LOT-00730,485.69,1
731,1,LOT-00731,372.2,1
732,2,LOT-00732,408.41,0
733,3,LOT-00733,434.31,0
734,4,LOT-00734,363.57,1
735,5,LOT-00735,232.1,0
736,1,LOT-00736,162.55,0
737,2,LOT-00737,194.91,0
738,3,LOT-00738,436.17,1
739,4,LOT-00739,378.44,1
740,5,LOT-00740,282.32,0
741,1,LOT-00741,111.76,1
742,2,LOT-00742,206.48,0
743,3,LOT-00743,391.56,1
744,4,LOT-00744,304.95,1
745,5,LOT-00745,274.21,1
746,1,LOT-00746,225.47,0
747,2,LOT-00747,342.77,1
748,3,LOT-00748,486.55,0
749,4,LOT-00749,460.45,1
750,5,LOT-00750,112.2,0
751,1,LOT-00751,292.38,1
752,2,LOT-00752,231.79,0
753,3,LOT-00753,304.24,0
754,4,LOT-00754,342.49,1
755,5,LOT-00755,180.01,1
756,1,LOT-00756,412.63,0
757,2,LOT-00757,290.03,0
758,3,LOT-00758,496.8,0
759,4,LOT-00759,110.05,0
760,5,LOT-00760,175.89,1
761,1,LOT-00761,375.85,0
762,2,LOT-00762,378.07,0
763,3,LOT-00763,332.88,1
764,4,LOT-00764,488.78,0
765,5,LOT-00765,266.13,1
766,1,LOT-00766,266.81,1
767,2,LOT-00767,464.19,1
768,3,LOT-00768,315.38,0
769,4,LOT-00769,241.49,0
770,5,LOT-00770,387.58,0
771,1,LOT-00771,347.87,0
772,2,LOT-00772,222.56,1
773,3,LOT-00773,219.17,0
774,4,LOT-00774,258.25,0
775,5,LOT-00775,128.65,1
776,1,LOT-00776,477.05,0
777,2,LOT-00777,173.21,0
778,3,LOT-00778,177.53,0
779,4,LOT-00779,358.82,1
780,5,LOT-00780,389.7,1
781,1,LOT-00781,394.73,0
782,2,LOT-00782,250.03,0
783,3,LOT-00783,449.33,1
784,4,LOT-00784,317.6,0
785,5,LOT-00785,275.44,1
786,1,LOT-00786,424.15,1
787,2,LOT-00787,197.42,1
788,3,LOT-00788,444.07,1
789,4,LOT-00789,315.53,1
790,5,LOT-00790,460.02,1
791,1,LOT-00791,180.65,0
792,2,LOT-00792,474.43,0
793,3,LOT-00793,375.15,1
794,4,LOT-00794,347.33,0
795,5,LOT-00795,268.83,1
796,1,LOT-00796,482.53,1
797,2,LOT-00797,277.57,1
798,3,LOT-00798,299.42,1
799,4,LOT-00799,412.6,0
800,5,LOT-00800,213.94,0
801,1,LOT-00801,216.6,1
802,2,LOT-00802,410.12,0
803,3,LOT-00803,151.43,0
804,4,LOT-00804,429.19,0
805,5,LOT-00805,350.07,1
806,1,LOT-00806,315.63,0
807,2,LOT-00807,191.64,0
808,3,LOT-00808,414.55,0
809,4,LOT-00809,421.98,1
810,5,LOT-00810,293.18,1
811,1,LOT-00811,255.67,0
812,2,LOT-00812,198.46,0
813,3,LOT-00813,401.69,1
814,4,LOT-00814,355.78,1
815,5,LOT-00815,182.65,0
816,1,LOT-00816,417.79,1
817,2,LOT-00817,452.88,0
818,3,LOT-00818,123.7,0
819,4,LOT-00819,408.97,1
