RunID,LineID,RunTimestamp,ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
32,2,2024-01-09 02:00:00,559.0,13326.27,99.27,1.0,4.3623,83.26,0.0,3.58,5.57,0.0246,84.37,5,3536.65,0.2279,8.77,343.61,Defect
33,3,2024-01-09 08:00:00,413.0,15996.07,87.54,3.0,1.8939,96.35,7.0,2.3,7.33,0.0385,80.5,7,4218.49,0.1638,5.94,392.76,No Defect
34,4,2024-01-09 14:00:00,121.0,14239.78,92.06,5.0,4.8708,92.34,17.0,3.44,8.67,0.0027,92.07,6,4854.89,0.3986,7.0,491.23,Defect
35,5,2024-01-09 20:00:00,352.0,7820.37,81.59,0.0,1.0304,95.79,20.0,2.22,4.26,0.0689,94.28,6,1027.19,0.1006,2.41,177.78,Defect
36,6,2024-01-10 02:00:00,847.0,10330.77,93.66,3.0,4.8121,60.47,3.0,1.68,2.86,0.0312,97.6,6,2654.71,0.3318,3.47,301.75,Defect
37,1,2024-01-10 08:00:00,956.0,16756.88,98.65,0.0,0.9096,98.64,4.0,2.33,5.46,0.054,95.44,6,3935.95,0.4459,5.59,401.34,Defect
38,2,2024-01-10 14:00:00,660.0,13313.4,91.51,5.0,1.5397,78.94,4.0,4.48,3.72,0.0255,98.53,7,4314.24,0.1885,8.93,273.46,No Defect
39,3,2024-01-10 20:00:00,574.0,5078.44,82.52,5.0,0.7096,91.93,14.0,1.92,5.44,0.0621,99.72,0,1249.14,0.2332,1.39,121.86,Defect
40,4,2024-01-11 02:00:00,158.0,16414.86,91.63,2.0,3.673,65.09,9.0,2.02,9.93,0.0448,94.9,2,3722.46,0.335,5.56,144.58,Defect
41,5,2024-01-11 08:00:00,610.0,5529.67,95.33,0.0,4.3263,75.84,7.0,3.04,6.59,0.0482,97.36,0,2155.75,0.1987,1.46,340.84,Defect
42,6,2024-01-11 14:00:00,781.0,16186.01,88.13,4.0,2.4533,70.86,6.0,3.76,7.55,0.0943,93.47,7,1298.39,0.439,5.11,214.0,Defect
43,1,2024-01-11 20:00:00,575.0,8037.21,97.6,3.0,4.6783,71.67,11.0,3.67,7.42,0.0706,83.42,1,2956.41,0.2466,6.66,155.14,Defect
44,2,2024-01-12 02:00:00,799.0,19371.1,92.97,5.0,3.1563,64.93,10.0,0.1,8.57,0.0262,83.63,6,1632.61,0.3326,7.7,235.96,Defect
45,3,2024-01-12 08:00:00,882.0,10519.11,97.98,0.0,3.335,92.23,12.0,3.44,9.55,0.0504,82.21,5,3948.03,0.1904,2.25,180.39,Defect
46,4,2024-01-12 14:00:00,289.0,9903.97,92.47,1.0,4.3044,60.37,14.0,2.25,7.27,0.0467,98.86,0,3965.05,0.1166,2.5,109.58,Defect
47,5,2024-01-12 20:00:00,786.0,7233.32,82.63,2.0,1.8356,72.5,16.0,2.62,5.81,0.0795,93.46,5,4368.27,0.1695,5.23,160.73,Defect
48,6,2024-01-13 02:00:00,662.0,9584.06,86.19,1.0,2.0942,66.98,21.0,2.81,4.54,0.0833,95.8,8,2510.27,0.1185,9.98,453.23,Defect
49,1,2024-01-13 08:00:00,975.0,18149.76,84.04,5.0,4.5768,83.56,21.0,3.66,4.88,0.0283,86.62,2,1053.24,0.2874,4.2,104.81,Defect
50,2,2024-01-13 14:00:00,666.0,19945.02,98.18,1.0,4.5543,70.17,17.0,4.16,4.68,0.0821,89.21,6,2038.94,0.3347,4.85,409.54,Defect
51,3,2024-01-13 20:00:00,343.0,10524.64,95.21,1.0,4.8942,70.36,7.0,3.23,4.6,0.018,80.8,3,2871.25,0.1179,4.89,401.38,Defect
52,4,2024-01-14 02:00:00,931.0,11729.16,93.53,2.0,4.5583,79.53,5.0,2.82,7.56,0.0763,97.78,0,3776.05,0.1362,1.73,325.7,Defect
53,5,2024-01-14 08:00:00,604.0,15831.06,86.02,2.0,1.0732,86.11,10.0,1.87,6.7,0.0249,97.06,6,2528.16,0.2942,7.97,183.38,No Defect
54,6,2024-01-14 14:00:00,230.0,18292.94,83.68,2.0,4.2068,64.85,8.0,0.69,3.62,0.0298,95.7,0,3144.19,0.4197,3.28,451.22,Defect
55,1,2024-01-14 20:00:00,584.0,13895.67,95.13,2.0,2.3443,67.02,4.0,4.79,9.76,0.0852,81.17,3,3097.05,0.3512,7.33,290.03,Defect
56,2,2024-01-15 02:00:00,918.0,10872.89,89.48,1.0,4.9586,69.89,6.0,2.31,5.42,0.042,83.48,8,1659.93,0.1419,5.28,169.28,Defect
57,3,2024-01-15 08:00:00,746.0,11189.33,84.52,4.0,2.6253,98.95,21.0,2.83,6.53,0.0991,86.68,4,3492.2,0.455,6.51,271.61,Defect
58,4,2024-01-15 14:00:00,120.0,15434.27,92.33,4.0,2.9923,75.89,14.0,3.76,7.62,0.0152,85.26,6,2757.01,0.467,1.49,177.97,Defect
59,5,2024-01-15 20:00:00,940.0,5048.27,80.81,2.0,2.884,83.96,20.0,0.34,6.91,0.0463,96.77,6,4231.67,0.23,9.01,250.4,Defect
60,6,2024-01-16 02:00:00,266.0,14293.84,86.52,3.0,1.9478,69.66,21.0,4.28,4.49,0.0732,83.9,2,3762.44,0.3464,3.19,298.68,Defect
61,1,2024-01-16 08:00:00,373.0,10332.4,89.37,0.0,0.8376,79.62,3.0,3.99,8.38,0.0005,90.64,7,1445.88,0.2969,7.03,243.96,No Defect
62,2,2024-01-16 14:00:00,487.0,16912.96,82.96,5.0,4.5304,62.96,18.0,3.87,2.88,0.0152,91.43,0,2955.03,0.4768,8.18,362.82,Defect
63,3,2024-01-16 20:00:00,700.0,6394.86,99.69,3.0,4.112,61.39,12.0,0.11,6.55,0.002,88.5,3,3809.98,0.3035,5.86,474.37,Defect
64,4,2024-01-17 02:00:00,415.0,13823.03,84.18,5.0,1.1279,78.75,0.0,2.63,4.19,0.0993,84.81,9,1348.05,0.484,4.04,239.26,No Defect
65,5,2024-01-17 08:00:00,113.0,12214.59,82.61,3.0,3.9955,75.95,0.0,0.27,6.93,0.0761,99.21,3,4169.99,0.1797,9.8,242.3,Defect
66,6,2024-01-17 14:00:00,341.0,14634.88,84.07,3.0,3.3163,65.48,21.0,2.75,3.74,0.0374,88.27,1,1888.02,0.2382,3.51,395.32,Defect
67,1,2024-01-17 20:00:00,876.0,5972.8,95.38,4.0,2.3411,87.5,13.0,3.59,8.18,0.0156,94.55,5,3012.34,0.4125,9.54,312.24,Defect
68,2,2024-01-18 02:00:00,445.0,13699.76,88.51,0.0,1.6431,99.72,8.0,0.61,3.82,0.009,83.68,0,4762.25,0.4134,2.41,271.54,No Defect
69,3,2024-01-18 08:00:00,664.0,13422.27,91.31,3.0,4.3688,75.83,23.0,3.47,9.12,0.0532,96.46,2,3285.34,0.3929,4.5,425.52,Defect
70,4,2024-01-18 14:00:00,997.0,13409.9,80.42,2.0,3.6508,84.98,11.0,2.25,8.89,0.0976,84.32,8,2696.22,0.4438,2.25,456.41,Defect
71,5,2024-01-18 20:00:00,439.0,14052.31,80.69,5.0,2.9648,98.52,17.0,4.06,4.9,0.0675,93.51,9,1027.18,0.381,1.02,336.23,Defect
72,6,2024-01-19 02:00:00,191.0,15147.02,88.92,4.0,3.2431,93.26,8.0,2.67,5.09,0.0365,90.13,5,1533.65,0.3544,3.34,174.04,Defect
73,1,2024-01-19 08:00:00,466.0,17074.83,96.33,5.0,0.9098,78.54,7.0,1.68,7.61,0.0501,82.93,1,3314.66,0.2836,1.78,286.51,No Defect
74,2,2024-01-19 14:00:00,554.0,9047.31,97.7,2.0,2.6326,89.5,13.0,1.66,2.72,0.0999,80.5,8,2975.3,0.2868,9.88,301.75,Defect
75,3,2024-01-19 20:00:00,527.0,17375.74,81.73,2.0,1.3717,65.13,8.0,4.49,2.65,0.0519,98.61,1,2455.32,0.2625,7.85,272.88,Defect
76,4,2024-01-20 02:00:00,608.0,12473.84,90.77,3.0,1.4377,80.48,19.0,2.26,3.09,0.0964,82.51,6,4692.86,0.3481,1.03,204.97,Defect
77,5,2024-01-20 08:00:00,875.0,6155.87,98.26,2.0,3.4759,71.16,1.0,2.03,6.5,0.0016,94.1,0,2329.93,0.2627,3.01,288.93,Defect
78,6,2024-01-20 14:00:00,134.0,5878.26,87.76,0.0,4.6007,66.45,0.0,0.2,3.19,0.0721,93.05,4,3148.6,0.159,7.03,278.62,Defect
79,1,2024-01-20 20:00:00,305.0,10013.57,96.59,2.0,2.3169,77.05,12.0,1.82,4.22,0.0627,86.83,6,3274.85,0.1426,4.59,183.8,Defect
80,2,2024-01-21 02:00:00,180.0,16773.45,82.67,3.0,1.4349,65.24,9.0,4.25,7.18,0.0685,83.71,2,3109.87,0.4698,8.49,461.37,Defect
81,3,2024-01-21 08:00:00,661.0,15615.21,98.71,5.0,3.4194,87.96,7.0,3.8,2.12,0.0571,83.57,3,2910.34,0.1099,5.54,454.14,Defect
82,4,2024-01-21 14:00:00,971.0,16829.22,95.03,2.0,4.4203,78.25,6.0,1.1,3.44,0.0044,91.71,4,2348.25,0.1422,6.88,403.85,Defect
83,5,2024-01-21 20:00:00,487.0,12759.04,98.83,4.0,3.8674,81.25,23.0,2.07,9.44,0.015,90.94,2,4635.05,0.2781,6.37,260.38,Defect
84,6,2024-01-22 02:00:00,101.0,11602.98,93.53,4.0,4.4094,65.86,11.0,0.98,7.31,0.0922,97.52,5,2803.21,0.2052,6.74,248.14,Defect
85,1,2024-01-22 08:00:00,489.0,7211.79,87.27,4.0,2.9145,65.59,16.0,4.77,4.44,0.0233,92.8,2,3113.8,0.2623,3.07,386.59,Defect
86,2,2024-01-22 14:00:00,665.0,9922.89,98.76,5.0,3.8834,83.34,11.0,2.99,2.36,0.0993,96.39,7,3625.91,0.147,4.36,343.25,Defect
87,3,2024-01-22 20:00:00,205.0,11510.29,85.51,1.0,1.1303,99.4,15.0,3.77,6.69,0.068,80.65,6,1270.62,0.1524,1.46,340.24,Defect
88,4,2024-01-23 02:00:00,871.0,6329.01,86.64,4.0,2.0672,63.85,9.0,3.57,3.78,0.0444,93.42,0,4125.15,0.4203,6.29,149.64,Defect
89,5,2024-01-23 08:00:00,921.0,8309.18,94.02,4.0,2.253,71.43,11.0,4.37,9.68,0.092,84.67,1,3050.03,0.4036,5.13,347.31,Defect
90,6,2024-01-23 14:00:00,576.0,13973.38,95.31,1.0,2.8008,94.78,10.0,4.75,7.5,0.0795,85.06,3,3628.71,0.1417,7.85,460.75,No Defect
91,1,2024-01-23 20:00:00,802.0,16034.95,98.59,5.0,4.6808,62.89,13.0,0.16,9.79,0.0429,94.41,4,4088.05,0.3671,2.86,134.33,Defect
92,2,2024-01-24 02:00:00,501.0,19975.21,84.1,4.0,4.4343,95.04,21.0,4.88,8.79,0.0069,95.87,9,4496.4,0.3437,4.93,235.67,Defect
93,3,2024-01-24 08:00:00,829.0,18996.7,95.96,3.0,1.1054,80.97,19.0,4.35,5.86,0.0868,87.43,3,2568.88,0.3853,2.63,303.61,Defect
94,4,2024-01-24 14:00:00,655.0,14638.48,94.77,5.0,1.2776,76.33,12.0,1.91,7.36,0.0765,95.8,3,4245.72,0.2898,6.53,374.4,Defect
95,5,2024-01-24 20:00:00,261.0,11318.72,81.28,4.0,2.1094,72.39,1.0,4.19,8.5,0.0791,88.87,8,2035.35,0.208,8.63,135.85,Defect
96,6,2024-01-25 02:00:00,301.0,14542.66,87.74,4.0,1.8083,71.88,19.0,3.68,6.63,0.0745,97.15,3,3641.34,0.3655,7.89,449.12,Defect
97,1,2024-01-25 08:00:00,369.0,16784.77,85.66,1.0,3.2665,72.23,6.0,3.97,2.49,0.0276,80.5,3,1410.83,0.2485,9.5,116.22,Defect
98,2,2024-01-25 14:00:00,962.0,6775.04,86.09,3.0,4.5625,95.39,0.0,1.1,5.76,0.0859,81.67,3,1080.12,0.1876,9.75,443.08,Defect
99,3,2024-01-25 20:00:00,915.0,11148.57,99.66,5.0,4.8303,88.95,2.0,3.24,3.04,0.0002,95.53,1,1383.05,0.2635,7.95,111.06,Defect
100,4,2024-01-26 02:00:00,370.0,17597.03,92.86,2.0,3.4412,86.79,19.0,0.13,7.72,0.0237,92.48,7,2277.53,0.4053,3.58,161.41,Defect
101,5,2024-01-26 08:00:00,555.0,10757.49,94.35,0.0,4.2717,91.95,11.0,4.24,7.45,0.0047,91.18,3,1124.38,0.2903,2.97,420.13,Defect
102,6,2024-01-26 14:00:00,561.0,13578.08,99.53,3.0,2.8634,70.28,4.0,4.76,9.94,0.0111,92.28,4,3521.97,0.2199,5.03,444.07,Defect
103,1,2024-01-26 20:00:00,826.0,13816.54,87.54,2.0,1.4375,84.72,11.0,3.31,7.03,0.0532,98.6,7,2266.18,0.4327,9.94,492.91,Defect
104,2,2024-01-27 02:00:00,351.0,7767.14,96.04,3.0,2.8611,78.4,2.0,2.56,8.4,0.0037,93.11,3,3945.5,0.4527,4.71,146.29,No Defect
105,3,2024-01-27 08:00:00,801.0,10433.53,88.69,2.0,2.9979,91.3,19.0,3.63,4.15,0.0181,92.95,4,1183.66,0.2733,2.79,310.58,Defect
106,4,2024-01-27 14:00:00,395.0,10017.67,97.39,2.0,3.8411,72.37,4.0,1.63,4.72,0.0233,95.19,4,1866.81,0.2499,9.5,130.86,Defect
107,5,2024-01-27 20:00:00,824.0,5392.95,83.61,3.0,1.4895,85.73,0.0,3.13,9.34,0.0655,97.33,5,2632.01,0.3451,4.47,162.56,Defect
108,6,2024-01-28 02:00:00,819.0,5362.88,98.95,1.0,2.1574,95.29,15.0,3.59,8.04,0.0469,85.24,6,2530.61,0.1232,7.22,169.8,Defect
109,1,2024-01-28 08:00:00,848.0,17475.46,84.38,3.0,2.1381,76.09,8.0,0.71,7.24,0.0458,92.33,2,1523.99,0.3765,8.09,125.36,Defect
110,2,2024-01-28 14:00:00,437.0,9096.06,86.52,3.0,4.8175,62.66,9.0,0.7,4.03,0.0768,91.68,9,4976.55,0.4129,8.59,457.19,Defect
111,3,2024-01-28 20:00:00,978.0,12771.18,95.12,2.0,2.4978,80.64,9.0,3.58,7.59,0.0457,82.7,2,2137.76,0.259,8.39,150.54,Defect
112,4,2024-01-29 02:00:00,152.0,9480.88,87.88,0.0,3.8979,73.84,12.0,2.16,9.09,0.0348,90.41,8,3884.13,0.1698,8.53,351.74,Defect
113,5,2024-01-29 08:00:00,891.0,19110.19,92.16,2.0,3.8787,86.89,15.0,4.45,3.85,0.0962,81.39,0,1880.11,0.1115,7.01,350.3,Defect
114,6,2024-01-29 14:00:00,316.0,8889.45,88.89,4.0,1.6949,98.04,19.0,1.56,7.65,0.0008,83.7,9,4511.4,0.3549,4.63,179.46,Defect
115,1,2024-01-29 20:00:00,863.0,11444.85,94.85,3.0,3.0734,79.42,3.0,0.21,5.15,0.0305,98.26,7,2551.03,0.2076,7.01,499.36,Defect
116,2,2024-01-30 02:00:00,287.0,18090.95,84.57,5.0,4.5244,78.65,13.0,3.25,2.95,0.0609,82.38,9,4603.61,0.2856,8.53,238.95,Defect
117,3,2024-01-30 08:00:00,479.0,17629.0,81.17,3.0,2.6384,86.18,16.0,3.42,8.11,0.0783,91.58,2,2367.34,0.2545,4.16,462.04,Defect
118,4,2024-01-30 14:00:00,592.0,7791.52,86.0,1.0,4.753,64.14,4.0,2.77,3.34,0.0816,86.47,4,1034.58,0.17,3.67,479.31,Defect
119,5,2024-01-30 20:00:00,140.0,17039.65,89.49,5.0,1.4651,70.14,12.0,3.42,4.02,0.0046,91.11,2,3068.08,0.3033,4.09,479.6,Defect
120,6,2024-01-31 02:00:00,256.0,11872.8,83.36,2.0,0.8337,96.76,2.0,2.62,8.26,0.0709,84.7,9,3099.15,0.2838,5.96,401.14,No Defect
121,1,2024-01-31 08:00:00,114.0,12244.53,87.1,1.0,4.5115,86.8,4.0,3.46,7.94,0.072,88.89,0,1479.34,0.3497,1.47,201.52,Defect
122,2,2024-01-31 14:00:00,912.0,7002.2,88.0,3.0,4.3146,60.54,15.0,0.22,4.03,0.0214,97.35,9,1939.85,0.2008,8.01,148.26,Defect
123,3,2024-01-31 20:00:00,164.0,6209.02,81.15,2.0,4.9667,68.19,18.0,1.84,9.53,0.0113,87.52,4,4133.98,0.1859,2.25,327.95,Defect
124,4,2024-02-01 02:00:00,956.0,15919.09,91.67,2.0,3.5573,87.31,18.0,1.05,3.72,0.075,87.06,7,1147.02,0.4257,2.2,244.02,Defect
125,5,2024-02-01 08:00:00,938.0,12446.92,97.69,4.0,4.7151,90.58,16.0,0.5,9.95,0.025,88.92,4,2958.11,0.3809,2.78,432.42,Defect
126,6,2024-02-01 14:00:00,620.0,11552.76,83.03,4.0,4.2213,93.59,17.0,1.17,7.9,0.0002,82.01,3,3121.63,0.4089,6.19,398.0,Defect
127,1,2024-02-01 20:00:00,443.0,15942.62,91.96,0.0,4.2999,71.69,17.0,0.96,5.14,0.0224,87.75,8,3754.85,0.1493,3.57,210.59,Defect
128,2,2024-02-02 02:00:00,228.0,16482.69,93.29,4.0,3.0611,97.24,22.0,4.87,3.04,0.0031,80.14,0,1149.83,0.1896,4.31,106.81,Defect
129,3,2024-02-02 08:00:00,747.0,7383.62,88.39,5.0,2.2206,82.12,7.0,1.43,4.56,0.0249,90.07,4,3342.59,0.3302,9.38,194.93,No Defect
130,4,2024-02-02 14:00:00,571.0,14153.38,94.02,2.0,4.7055,87.86,17.0,1.15,3.55,0.0335,96.96,0,1012.39,0.4429,8.62,326.85,Defect
131,5,2024-02-02 20:00:00,162.0,7030.31,88.21,4.0,2.4445,83.87,8.0,4.17,6.97,0.0271,91.04,5,2060.71,0.4568,8.67,131.6,No Defect
132,6,2024-02-03 02:00:00,238.0,16270.63,90.09,0.0,2.9247,64.91,18.0,2.1,4.85,0.092,92.15,9,2998.74,0.4328,6.2,363.31,Defect
133,1,2024-02-03 08:00:00,598.0,14854.33,80.15,3.0,2.5075,98.52,9.0,2.11,4.36,0.0233,80.61,8,4645.13,0.1174,8.8,368.68,No Defect
134,2,2024-02-03 14:00:00,692.0,19349.22,93.83,5.0,3.0417,64.92,1.0,2.22,8.06,0.0468,97.19,1,1506.36,0.4284,8.01,167.76,Defect
135,3,2024-02-03 20:00:00,491.0,6034.37,93.23,4.0,2.6173,70.2,16.0,2.08,3.84,0.0957,87.7,3,1677.16,0.4596,9.58,338.53,Defect
136,4,2024-02-04 02:00:00,774.0,5855.82,80.77,2.0,0.7159,92.55,23.0,1.63,6.7,0.0879,99.5,7,3677.0,0.1227,1.58,342.79,Defect
137,5,2024-02-04 08:00:00,518.0,9232.81,87.37,3.0,4.4692,84.74,12.0,1.43,3.56,0.0309,82.41,2,2499.45,0.2665,1.26,291.19,Defect
138,6,2024-02-04 14:00:00,388.0,8925.59,99.58,2.0,2.4998,93.53,10.0,4.41,7.72,0.0326,98.89,6,3493.69,0.3146,2.58,481.3,No Defect
139,1,2024-02-04 20:00:00,478.0,8704.68,88.41,3.0,3.1502,80.63,15.0,0.81,7.0,0.0593,92.69,6,4989.82,0.1931,9.36,143.27,Defect
140,2,2024-02-05 02:00:00,872.0,18593.82,90.04,5.0,1.1263,75.08,19.0,0.91,8.39,0.0918,81.05,1,4947.49,0.3067,6.45,262.65,Defect
141,3,2024-02-05 08:00:00,589.0,8743.19,98.2,2.0,0.5152,96.87,6.0,2.86,2.55,0.001,99.43,9,2414.85,0.4544,4.84,453.17,No Defect
142,4,2024-02-05 14:00:00,330.0,9079.25,94.35,4.0,1.6038,61.45,2.0,1.72,3.68,0.0393,80.28,3,3015.7,0.4468,5.61,254.53,Defect
143,5,2024-02-05 20:00:00,140.0,16390.97,91.64,4.0,3.6706,94.25,15.0,2.11,3.24,0.085,94.61,0,4618.76,0.4759,8.47,269.86,Defect
144,6,2024-02-06 02:00:00,127.0,11746.1,95.96,0.0,0.9464,69.23,18.0,4.03,3.52,0.041,97.79,7,1368.67,0.2936,9.36,367.31,Defect
145,1,2024-02-06 08:00:00,234.0,16650.66,97.29,3.0,4.59,93.95,19.0,4.52,2.82,0.072,83.52,9,2809.22,0.2642,7.57,366.23,Defect
146,2,2024-02-06 14:00:00,300.0,5980.49,89.14,0.0,1.4676,65.57,15.0,3.95,6.5,0.0692,86.87,9,2510.31,0.3663,7.84,109.16,Defect
147,3,2024-02-06 20:00:00,939.0,12313.57,89.5,1.0,1.4207,83.21,1.0,1.17,6.75,0.0205,91.22,8,2179.53,0.2667,3.88,282.28,Defect
148,4,2024-02-07 02:00:00,879.0,5504.2,87.72,4.0,1.3168,95.52,13.0,4.9,8.75,0.045,93.6,0,4976.82,0.1168,5.2,233.4,Defect
149,5,2024-02-07 08:00:00,132.0,5939.8,99.33,3.0,0.5629,78.94,19.0,1.82,5.34,0.0566,97.44,6,3934.2,0.388,8.97,351.08,Defect
150,6,2024-02-07 14:00:00,147.0,18596.56,93.94,5.0,3.9731,89.86,9.0,0.85,6.26,0.0715,95.22,0,2554.99,0.2124,8.07,322.28,Defect
151,1,2024-02-07 20:00:00,602.0,7088.68,81.66,0.0,4.4377,92.19,18.0,2.5,9.93,0.0822,87.27,0,4316.09,0.1196,7.16,360.34,Defect
152,2,2024-02-08 02:00:00,506.0,12986.31,97.26,5.0,3.2637,89.46,23.0,3.63,6.25,0.076,96.43,8,2958.66,0.1082,1.59,361.51,Defect
153,3,2024-02-08 08:00:00,673.0,11166.43,89.61,5.0,1.3469,97.01,10.0,0.42,6.59,0.0028,99.32,9,4491.3,0.4725,1.36,201.95,No Defect
154,4,2024-02-08 14:00:00,827.0,10210.15,81.38,5.0,1.7838,77.87,17.0,3.17,9.97,0.0671,84.54,9,2065.52,0.2008,2.17,198.59,Defect
155,5,2024-02-08 20:00:00,904.0,18497.5,90.99,0.0,2.6417,66.93,10.0,4.29,9.95,0.0497,81.48,5,1894.4,0.2792,6.23,248.11,Defect
