RunID,DefectSeq,DefectTypeID,Severity,DetectedAt
101,1,4,Critical,2024-01-26 08:45:00
102,1,2,Medium,2024-01-26 14:45:00
103,1,1,Low,2024-01-26 20:45:00
105,1,2,Medium,2024-01-27 08:45:00
106,1,3,High,2024-01-27 14:45:00
107,1,1,Low,2024-01-27 20:45:00
108,1,2,Medium,2024-01-28 02:45:00
109,1,2,Medium,2024-01-28 08:45:00
110,1,4,Critical,2024-01-28 14:45:00
111,1,2,Medium,2024-01-28 20:45:00
112,1,3,High,2024-01-29 02:45:00
113,1,3,High,2024-01-29 08:45:00
114,1,2,Medium,2024-01-29 14:45:00
115,1,3,High,2024-01-29 20:45:00
116,1,4,Critical,2024-01-30 02:45:00
117,1,2,Medium,2024-01-30 08:45:00
118,1,4,Critical,2024-01-30 14:45:00
119,1,1,Low,2024-01-30 20:45:00
121,1,4,Critical,2024-01-31 08:45:00
122,1,4,Critical,2024-01-31 14:45:00
123,1,4,Critical,2024-01-31 20:45:00
124,1,3,High,2024-02-01 02:45:00
125,1,4,Critical,2024-02-01 08:45:00
126,1,4,Critical,2024-02-01 14:45:00
127,1,4,Critical,2024-02-01 20:45:00
128,1,3,High,2024-02-02 02:45:00
130,1,4,Critical,2024-02-02 14:45:00
132,1,2,Medium,2024-02-03 02:45:00
134,1,3,High,2024-02-03 14:45:00
135,1,2,Medium,2024-02-03 20:45:00
136,1,1,Low,2024-02-04 02:45:00
137,1,4,Critical,2024-02-04 08:45:00
139,1,3,High,2024-02-04 20:45:00
140,1,1,Low,2024-02-05 02:45:00
142,1,2,Medium,2024-02-05 14:45:00
143,1,3,High,2024-02-05 20:45:00
144,1,1,Low,2024-02-06 02:45:00
145,1,4,Critical,2024-02-06 08:45:00
146,1,1,Low,2024-02-06 14:45:00
147,1,1,Low,2024-02-06 20:45:00
148,1,1,Low,2024-02-07 02:45:00
149,1,1,Low,2024-02-07 08:45:00
150,1,3,High,2024-02-07 14:45:00
151,1,4,Critical,2024-02-07 20:45:00
152,1,3,High,2024-02-08 02:45:00
154,1,2,Medium,2024-02-08 14:45:00
155,1,2,Medium,2024-02-08 20:45:00
156,1,4,Critical,2024-02-09 02:45:00
157,1,2,Medium,2024-02-09 08:45:00
158,1,3,High,2024-02-09 14:45:00
159,1,2,Medium,2024-02-09 20:45:00
160,1,2,Medium,2024-02-10 02:45:00
161,1,2,Medium,2024-02-10 08:45:00
162,1,1,Low,2024-02-10 14:45:00
163,1,4,Critical,2024-02-10 20:45:00
165,1,3,High,2024-02-11 08:45:00
167,1,4,Critical,2024-02-11 20:45:00
168,1,1,Low,2024-02-12 02:45:00
169,1,4,Critical,2024-02-12 08:45:00
170,1,4,Critical,2024-02-12 14:45:00
171,1,4,Critical,2024-02-12 20:45:00
172,1,2,Medium,2024-02-13 02:45:00
173,1,3,High,2024-02-13 08:45:00
175,1,1,Low,2024-02-13 20:45:00
176,1,2,Medium,2024-02-14 02:45:00
177,1,1,Low,2024-02-14 08:45:00
178,1,4,Critical,2024-02-14 14:45:00
179,1,1,Low,2024-02-14 20:45:00
180,1,3,High,2024-02-15 02:45:00
181,1,3,High,2024-02-15 08:45:00
182,1,2,Medium,2024-02-15 14:45:00
183,1,3,High,2024-02-15 20:45:00
185,1,2,Medium,2024-02-16 08:45:00
186,1,2,Medium,2024-02-16 14:45:00
187,1,4,Critical,2024-02-16 20:45:00
188,1,3,High,2024-02-17 02:45:00
189,1,4,Critical,2024-02-17 08:45:00
191,1,2,Medium,2024-02-17 20:45:00
192,1,1,Low,2024-02-18 02:45:00
194,1,2,Medium,2024-02-18 14:45:00
195,1,3,High,2024-02-18 20:45:00
197,1,2,Medium,2024-02-19 08:45:00
198,1,4,Critical,2024-02-19 14:45:00
199,1,3,High,2024-02-19 20:45:00
201,1,2,Medium,2024-02-20 08:45:00
202,1,2,Medium,2024-02-20 14:45:00
203,1,1,Low,2024-02-20 20:45:00
204,1,3,High,2024-02-21 02:45:00
205,1,2,Medium,2024-02-21 08:45:00
206,1,4,Critical,2024-02-21 14:45:00
207,1,3,High,2024-02-21 20:45:00
208,1,3,High,2024-02-22 02:45:00
209,1,2,Medium,2024-02-22 08:45:00
210,1,1,Low,2024-02-22 14:45:00
211,1,3,High,2024-02-22 20:45:00
212,1,2,Medium,2024-02-23 02:45:00
213,1,2,Medium,2024-02-23 08:45:00
214,1,1,Low,2024-02-23 14:45:00
215,1,1,Low,2024-02-23 20:45:00
216,1,3,High,2024-02-24 02:45:00
217,1,2,Medium,2024-02-24 08:45:00
218,1,2,Medium,2024-02-24 14:45:00
219,1,2,Medium,2024-02-24 20:45:00
220,1,3,High,2024-02-25 02:45:00
221,1,4,Critical,2024-02-25 08:45:00
222,1,4,Critical,2024-02-25 14:45:00
223,1,2,Medium,2024-02-25 20:45:00
224,1,1,Low,2024-02-26 02:45:00
225,1,2,Medium,2024-02-26 08:45:00
226,1,3,High,2024-02-26 14:45:00
227,1,3,High,2024-02-26 20:45:00
228,1,3,High,2024-02-27 02:45:00
230,1,3,High,2024-02-27 14:45:00
231,1,1,Low,2024-02-27 20:45:00
232,1,3,High,2024-02-28 02:45:00
234,1,3,High,2024-02-28 14:45:00
235,1,1,Low,2024-02-28 20:45:00
236,1,2,Medium,2024-02-29 02:45:00
237,1,3,High,2024-02-29 08:45:00
238,1,2,Medium,2024-02-29 14:45:00
239,1,4,Critical,2024-02-29 20:45:00
240,1,3,High,2024-03-01 02:45:00
241,1,3,High,2024-03-01 08:45:00
242,1,2,Medium,2024-03-01 14:45:00
243,1,2,Medium,2024-03-01 20:45:00
244,1,3,High,2024-03-02 02:45:00
245,1,2,Medium,2024-03-02 08:45:00
246,1,3,High,2024-03-02 14:45:00
247,1,2,Medium,2024-03-02 20:45:00
248,1,1,Low,2024-03-03 02:45:00
249,1,1,Low,2024-03-03 08:45:00
250,1,1,Low,2024-03-03 14:45:00
252,1,3,High,2024-03-04 02:45:00
253,1,4,Critical,2024-03-04 08:45:00
254,1,1,Low,2024-03-04 14:45:00
255,1,4,Critical,2024-03-04 20:45:00
256,1,2,Medium,2024-03-05 02:45:00
257,1,4,Critical,2024-03-05 08:45:00
258,1,3,High,2024-03-05 14:45:00
259,1,3,High,2024-03-05 20:45:00
260,1,1,Low,2024-03-06 02:45:00
262,1,1,Low,2024-03-06 14:45:00
263,1,3,High,2024-03-06 20:45:00
264,1,2,Medium,2024-03-07 02:45:00
265,1,4,Critical,2024-03-07 08:45:00
266,1,2,Medium,2024-03-07 14:45:00
267,1,4,Critical,2024-03-07 20:45:00
268,1,1,Low,2024-03-08 02:45:00
269,1,1,Low,2024-03-08 08:45:00
270,1,2,Medium,2024-03-08 14:45:00
271,1,2,Medium,2024-03-08 20:45:00
273,1,3,High,2024-03-09 08:45:00
274,1,1,Low,2024-03-09 14:45:00
275,1,2,Medium,2024-03-09 20:45:00
276,1,4,Critical,2024-03-10 02:45:00
277,1,1,Low,2024-03-10 08:45:00
278,1,4,Critical,2024-03-10 14:45:00
279,1,4,Critical,2024-03-10 20:45:00
280,1,1,Low,2024-03-11 02:45:00
281,1,2,Medium,2024-03-11 08:45:00
282,1,2,Medium,2024-03-11 14:45:00
283,1,3,High,2024-03-11 20:45:00
284,1,3,High,2024-03-12 02:45:00
285,1,3,High,2024-03-12 08:45:00
286,1,3,High,2024-03-12 14:45:00
287,1,1,Low,2024-03-12 20:45:00
288,1,4,Critical,2024-03-13 02:45:00
289,1,3,High,2024-03-13 08:45:00
290,1,3,High,2024-03-13 14:45:00
291,1,4,Critical,2024-03-13 20:45:00
292,1,3,High,2024-03-14 02:45:00
293,1,1,Low,2024-03-14 08:45:00
295,1,2,Medium,2024-03-14 20:45:00
296,1,1,Low,2024-03-15 02:45:00
297,1,4,Critical,2024-03-15 08:45:00
298,1,1,Low,2024-03-15 14:45:00
299,1,3,High,2024-03-15 20:45:00
301,1,1,Low,2024-03-16 08:45:00
302,1,4,Critical,2024-03-16 14:45:00
303,1,4,Critical,2024-03-16 20:45:00
304,1,2,Medium,2024-03-17 02:45:00
305,1,2,Medium,2024-03-17 08:45:00
306,1,1,Low,2024-03-17 14:45:00
307,1,2,Medium,2024-03-17 20:45:00
308,1,2,Medium,2024-03-18 02:45:00
309,1,2,Medium,2024-03-18 08:45:00
310,1,4,Critical,2024-03-18 14:45:00
311,1,3,High,2024-03-18 20:45:00
312,1,4,Critical,2024-03-19 02:45:00
313,1,3,High,2024-03-19 08:45:00
314,1,2,Medium,2024-03-19 14:45:00
315,1,4,Critical,2024-03-19 20:45:00
316,1,2,Medium,2024-03-20 02:45:00
317,1,4,Critical,2024-03-20 08:45:00
318,1,2,Medium,2024-03-20 14:45:00
319,1,1,Low,2024-03-20 20:45:00
320,1,4,Critical,2024-03-21 02:45:00
321,1,3,High,2024-03-21 08:45:00
322,1,4,Critical,2024-03-21 14:45:00
323,1,4,Critical,2024-03-21 20:45:00
327,1,3,High,2024-03-22 20:45:00
328,1,4,Critical,2024-03-23 02:45:00
329,1,2,Medium,2024-03-23 08:45:00
330,1,3,High,2024-03-23 14:45:00
331,1,3,High,2024-03-23 20:45:00
332,1,1,Low,2024-03-24 02:45:00
333,1,4,Critical,2024-03-24 08:45:00
334,1,3,High,2024-03-24 14:45:00
335,1,4,Critical,2024-03-24 20:45:00
336,1,2,Medium,2024-03-25 02:45:00
337,1,1,Low,2024-03-25 08:45:00
338,1,2,Medium,2024-03-25 14:45:00
340,1,4,Critical,2024-03-26 02:45:00
341,1,1,Low,2024-03-26 08:45:00
342,1,3,High,2024-03-26 14:45:00
344,1,2,Medium,2024-03-27 02:45:00
345,1,1,Low,2024-03-27 08:45:00
346,1,3,High,2024-03-27 14:45:00
347,1,3,High,2024-03-27 20:45:00
348,1,2,Medium,2024-03-28 02:45:00
349,1,4,Critical,2024-03-28 08:45:00
350,1,2,Medium,2024-03-28 14:45:00
351,1,2,Medium,2024-03-28 20:45:00
352,1,2,Medium,2024-03-29 02:45:00
354,1,4,Critical,2024-03-29 14:45:00
356,1,1,Low,2024-03-30 02:45:00
357,1,2,Medium,2024-03-30 08:45:00
358,1,3,High,2024-03-30 14:45:00
359,1,2,Medium,2024-03-30 20:45:00
360,1,3,High,2024-03-31 02:45:00
361,1,1,Low,2024-03-31 08:45:00
362,1,2,Medium,2024-03-31 14:45:00
363,1,4,Critical,2024-03-31 20:45:00
364,1,1,Low,2024-04-01 02:45:00
365,1,4,Critical,2024-04-01 08:45:00
367,1,4,Critical,2024-04-01 20:45:00
369,1,3,High,2024-04-02 08:45:00
370,1,1,Low,2024-04-02 14:45:00
371,1,1,Low,2024-04-02 20:45:00
372,1,1,Low,2024-04-03 02:45:00
374,1,2,Medium,2024-04-03 14:45:00
375,1,2,Medium,2024-04-03 20:45:00
376,1,3,High,2024-04-04 02:45:00
377,1,4,Critical,2024-04-04 08:45:00
378,1,3,High,2024-04-04 14:45:00
379,1,3,High,2024-04-04 20:45:00
381,1,2,Medium,2024-04-05 08:45:00
382,1,2,Medium,2024-04-05 14:45:00
383,1,4,Critical,2024-04-05 20:45:00
384,1,2,Medium,2024-04-06 02:45:00
385,1,1,Low,2024-04-06 08:45:00
386,1,3,High,2024-04-06 14:45:00
387,1,1,Low,2024-04-06 20:45:00
388,1,4,Critical,2024-04-07 02:45:00
389,1,4,Critical,2024-04-07 08:45:00
390,1,1,Low,2024-04-07 14:45:00
391,1,1,Low,2024-04-07 20:45:00
393,1,3,High,2024-04-08 08:45:00
394,1,2,Medium,2024-04-08 14:45:00
395,1,3,High,2024-04-08 20:45:00
396,1,3,High,2024-04-09 02:45:00
397,1,2,Medium,2024-04-09 08:45:00
398,1,1,Low,2024-04-09 14:45:00
399,1,3,High,2024-04-09 20:45:00
400,1,1,Low,2024-04-10 02:45:00
401,1,4,Critical,2024-04-10 08:45:00
403,1,3,High,2024-04-10 20:45:00
404,1,4,Critical,2024-04-11 02:45:00
405,1,4,Critical,2024-04-11 08:45:00
406,1,2,Medium,2024-04-11 14:45:00
407,1,1,Low,2024-04-11 20:45:00
408,1,3,High,2024-04-12 02:45:00
409,1,2,Medium,2024-04-12 08:45:00
410,1,1,Low,2024-04-12 14:45:00
411,1,4,Critical,2024-04-12 20:45:00
412,1,1,Low,2024-04-13 02:45:00
413,1,1,Low,2024-04-13 08:45:00
414,1,1,Low,2024-04-13 14:45:00
415,1,3,High,2024-04-13 20:45:00
416,1,3,High,2024-04-14 02:45:00
417,1,2,Medium,2024-04-14 08:45:00
418,1,2,Medium,2024-04-14 14:45:00
420,1,3,High,2024-04-15 02:45:00
421,1,1,Low,2024-04-15 08:45:00
422,1,4,Critical,2024-04-15 14:45:00
423,1,2,Medium,2024-04-15 20:45:00
424,1,4,Critical,2024-04-16 02:45:00
426,1,3,High,2024-04-16 14:45:00
428,1,1,Low,2024-04-17 02:45:00
429,1,4,Critical,2024-04-17 08:45:00
430,1,4,Critical,2024-04-17 14:45:00
431,1,2,Medium,2024-04-17 20:45:00
432,1,3,High,2024-04-18 02:45:00
433,1,3,High,2024-04-18 08:45:00
434,1,4,Critical,2024-04-18 14:45:00
435,1,2,Medium,2024-04-18 20:45:00
436,1,2,Medium,2024-04-19 02:45:00
437,1,2,Medium,2024-04-19 08:45:00
438,1,2,Medium,2024-04-19 14:45:00
439,1,4,Critical,2024-04-19 20:45:00
440,1,1,Low,2024-04-20 02:45:00
442,1,3,High,2024-04-20 14:45:00
443,1,3,High,2024-04-20 20:45:00
444,1,1,Low,2024-04-21 02:45:00
445,1,2,Medium,2024-04-21 08:45:00
446,1,4,Critical,2024-04-21 14:45:00
447,1,2,Medium,2024-04-21 20:45:00
448,1,3,High,2024-04-22 02:45:00
449,1,3,High,2024-04-22 08:45:00
450,1,2,Medium,2024-04-22 14:45:00
451,1,4,Critical,2024-04-22 20:45:00
452,1,3,High,2024-04-23 02:45:00
453,1,2,Medium,2024-04-23 08:45:00
454,1,3,High,2024-04-23 14:45:00
455,1,3,High,2024-04-23 20:45:00
456,1,3,High,2024-04-24 02:45:00
457,1,4,Critical,2024-04-24 08:45:00
458,1,2,Medium,2024-04-24 14:45:00
459,1,2,Medium,2024-04-24 20:45:00
460,1,1,Low,2024-04-25 02:45:00
461,1,1,Low,2024-04-25 08:45:00
462,1,1,Low,2024-04-25 14:45:00
463,1,4,Critical,2024-04-25 20:45:00
464,1,3,High,2024-04-26 02:45:00
465,1,3,High,2024-04-26 08:45:00
466,1,3,High,2024-04-26 14:45:00
467,1,4,Critical,2024-04-26 20:45:00
469,1,4,Critical,2024-04-27 08:45:00
471,1,4,Critical,2024-04-27 20:45:00
472,1,3,High,2024-04-28 02:45:00
474,1,3,High,2024-04-28 14:45:00
477,1,3,High,2024-04-29 08:45:00
478,1,2,Medium,2024-04-29 14:45:00
479,1,1,Low,2024-04-29 20:45:00
480,1,4,Critical,2024-04-30 02:45:00
481,1,3,High,2024-04-30 08:45:00
482,1,4,Critical,2024-04-30 14:45:00
483,1,3,High,2024-04-30 20:45:00
484,1,2,Medium,2024-05-01 02:45:00
485,1,2,Medium,2024-05-01 08:45:00
486,1,3,High,2024-05-01 14:45:00
487,1,4,Critical,2024-05-01 20:45:00
488,1,2,Medium,2024-05-02 02:45:00
489,1,4,Critical,2024-05-02 08:45:00
490,1,4,Critical,2024-05-02 14:45:00
491,1,3,High,2024-05-02 20:45:00
492,1,4,Critical,2024-05-03 02:45:00
493,1,2,Medium,2024-05-03 08:45:00
494,1,4,Critical,2024-05-03 14:45:00
495,1,3,High,2024-05-03 20:45:00
497,1,4,Critical,2024-05-04 08:45:00
499,1,2,Medium,2024-05-04 20:45:00
500,1,3,High,2024-05-05 02:45:00
501,1,1,Low,2024-05-05 08:45:00
502,1,2,Medium,2024-05-05 14:45:00
503,1,4,Critical,2024-05-05 20:45:00
504,1,1,Low,2024-05-06 02:45:00
505,1,2,Medium,2024-05-06 08:45:00
507,1,2,Medium,2024-05-06 20:45:00
508,1,3,High,2024-05-07 02:45:00
509,1,4,Critical,2024-05-07 08:45:00
510,1,4,Critical,2024-05-07 14:45:00
511,1,3,High,2024-05-07 20:45:00
512,1,2,Medium,2024-05-08 02:45:00
513,1,4,Critical,2024-05-08 08:45:00
514,1,3,High,2024-05-08 14:45:00
515,1,3,High,2024-05-08 20:45:00
516,1,3,High,2024-05-09 02:45:00
517,1,4,Critical,2024-05-09 08:45:00
518,1,3,High,2024-05-09 14:45:00
519,1,2,Medium,2024-05-09 20:45:00
520,1,3,High,2024-05-10 02:45:00
521,1,1,Low,2024-05-10 08:45:00
523,1,2,Medium,2024-05-10 20:45:00
524,1,1,Low,2024-05-11 02:45:00
525,1,1,Low,2024-05-11 08:45:00
526,1,1,Low,2024-05-11 14:45:00
527,1,3,High,2024-05-11 20:45:00
528,1,4,Critical,2024-05-12 02:45:00
529,1,4,Critical,2024-05-12 08:45:00
530,1,2,Medium,2024-05-12 14:45:00
531,1,3,High,2024-05-12 20:45:00
532,1,4,Critical,2024-05-13 02:45:00
533,1,1,Low,2024-05-13 08:45:00
534,1,3,High,2024-05-13 14:45:00
535,1,3,High,2024-05-13 20:45:00
536,1,1,Low,2024-05-14 02:45:00
537,1,4,Critical,2024-05-14 08:45:00
538,1,4,Critical,2024-05-14 14:45:00
541,1,1,Low,2024-05-15 08:45:00
542,1,2,Medium,2024-05-15 14:45:00
543,1,2,Medium,2024-05-15 20:45:00
544,1,2,Medium,2024-05-16 02:45:00
545,1,2,Medium,2024-05-16 08:45:00
546,1,4,Critical,2024-05-16 14:45:00
547,1,2,Medium,2024-05-16 20:45:00
550,1,2,Medium,2024-05-17 14:45:00
551,1,2,Medium,2024-05-17 20:45:00
552,1,2,Medium,2024-05-18 02:45:00
553,1,1,Low,2024-05-18 08:45:00
554,1,4,Critical,2024-05-18 14:45:00
555,1,4,Critical,2024-05-18 20:45:00
556,1,2,Medium,2024-05-19 02:45:00
557,1,2,Medium,2024-05-19 08:45:00
558,1,3,High,2024-05-19 14:45:00
559,1,3,High,2024-05-19 20:45:00
561,1,4,Critical,2024-05-20 08:45:00
562,1,3,High,2024-05-20 14:45:00
563,1,2,Medium,2024-05-20 20:45:00
564,1,3,High,2024-05-21 02:45:00
565,1,4,Critical,2024-05-21 08:45:00
566,1,4,Critical,2024-05-21 14:45:00
567,1,1,Low,2024-05-21 20:45:00
568,1,2,Medium,2024-05-22 02:45:00
569,1,2,Medium,2024-05-22 08:45:00
570,1,2,Medium,2024-05-22 14:45:00
571,1,3,High,2024-05-22 20:45:00
572,1,4,Critical,2024-05-23 02:45:00
573,1,3,High,2024-05-23 08:45:00
574,1,4,Critical,2024-05-23 14:45:00
575,1,2,Medium,2024-05-23 20:45:00
576,1,4,Critical,2024-05-24 02:45:00
577,1,3,High,2024-05-24 08:45:00
578,1,2,Medium,2024-05-24 14:45:00
579,1,3,High,2024-05-24 20:45:00
580,1,1,Low,2024-05-25 02:45:00
581,1,4,Critical,2024-05-25 08:45:00
582,1,2,Medium,2024-05-25 14:45:00
583,1,2,Medium,2024-05-25 20:45:00
584,1,3,High,2024-05-26 02:45:00
585,1,3,High,2024-05-26 08:45:00
587,1,1,Low,2024-05-26 20:45:00
588,1,2,Medium,2024-05-27 02:45:00
589,1,3,High,2024-05-27 08:45:00
590,1,4,Critical,2024-05-27 14:45:00
591,1,4,Critical,2024-05-27 20:45:00
592,1,2,Medium,2024-05-28 02:45:00
593,1,3,High,2024-05-28 08:45:00
594,1,2,Medium,2024-05-28 14:45:00
595,1,3,High,2024-05-28 20:45:00
598,1,3,High,2024-05-29 14:45:00
599,1,1,Low,2024-05-29 20:45:00
600,1,3,High,2024-05-30 02:45:00
601,1,4,Critical,2024-05-30 08:45:00
603,1,2,Medium,2024-05-30 20:45:00
604,1,4,Critical,2024-05-31 02:45:00
605,1,3,High,2024-05-31 08:45:00
606,1,2,Medium,2024-05-31 14:45:00
608,1,3,High,2024-06-01 02:45:00
609,1,3,High,2024-06-01 08:45:00
610,1,1,Low,2024-06-01 14:45:00
611,1,2,Medium,2024-06-01 20:45:00
612,1,4,Critical,2024-06-02 02:45:00
613,1,3,High,2024-06-02 08:45:00
614,1,4,Critical,2024-06-02 14:45:00
615,1,3,High,2024-06-02 20:45:00
616,1,4,Critical,2024-06-03 02:45:00
617,1,1,Low,2024-06-03 08:45:00
618,1,3,High,2024-06-03 14:45:00
619,1,1,Low,2024-06-03 20:45:00
620,1,3,High,2024-06-04 02:45:00
621,1,2,Medium,2024-06-04 08:45:00
622,1,2,Medium,2024-06-04 14:45:00
623,1,4,Critical,2024-06-04 20:45:00
624,1,4,Critical,2024-06-05 02:45:00
625,1,1,Low,2024-06-05 08:45:00
626,1,3,High,2024-06-05 14:45:00
627,1,2,Medium,2024-06-05 20:45:00
629,1,4,Critical,2024-06-06 08:45:00
630,1,2,Medium,2024-06-06 14:45:00
631,1,4,Critical,2024-06-06 20:45:00
632,1,1,Low,2024-06-07 02:45:00
633,1,3,High,2024-06-07 08:45:00
634,1,3,High,2024-06-07 14:45:00
635,1,2,Medium,2024-06-07 20:45:00
637,1,4,Critical,2024-06-08 08:45:00
638,1,3,High,2024-06-08 14:45:00
640,1,2,Medium,2024-06-09 02:45:00
641,1,1,Low,2024-06-09 08:45:00
643,1,2,Medium,2024-06-09 20:45:00
644,1,1,Low,2024-06-10 02:45:00
645,1,4,Critical,2024-06-10 08:45:00
646,1,3,High,2024-06-10 14:45:00
647,1,4,Critical,2024-06-10 20:45:00
648,1,3,High,2024-06-11 02:45:00
649,1,4,Critical,2024-06-11 08:45:00
650,1,2,Medium,2024-06-11 14:45:00
651,1,3,High,2024-06-11 20:45:00
652,1,4,Critical,2024-06-12 02:45:00
653,1,3,High,2024-06-12 08:45:00
654,1,1,Low,2024-06-12 14:45:00
655,1,3,High,2024-06-12 20:45:00
656,1,4,Critical,2024-06-13 02:45:00
657,1,4,Critical,2024-06-13 08:45:00
658,1,3,High,2024-06-13 14:45:00
659,1,3,High,2024-06-13 20:45:00
660,1,4,Critical,2024-06-14 02:45:00
661,1,1,Low,2024-06-14 08:45:00
662,1,3,High,2024-06-14 14:45:00
664,1,3,High,2024-06-15 02:45:00
665,1,3,High,2024-06-15 08:45:00
666,1,1,Low,2024-06-15 14:45:00
667,1,1,Low,2024-06-15 20:45:00
668,1,3,High,2024-06-16 02:45:00
670,1,2,Medium,2024-06-16 14:45:00
671,1,4,Critical,2024-06-16 20:45:00
674,1,4,Critical,2024-06-17 14:45:00
675,1,2,Medium,2024-06-17 20:45:00
676,1,2,Medium,2024-06-18 02:45:00
677,1,3,High,2024-06-18 08:45:00
678,1,3,High,2024-06-18 14:45:00
679,1,4,Critical,2024-06-18 20:45:00
680,1,4,Critical,2024-06-19 02:45:00
681,1,3,High,2024-06-19 08:45:00
682,1,2,Medium,2024-06-19 14:45:00
683,1,1,Low,2024-06-19 20:45:00
684,1,2,Medium,2024-06-20 02:45:00
686,1,3,High,2024-06-20 14:45:00
687,1,3,High,2024-06-20 20:45:00
688,1,1,Low,2024-06-21 02:45:00
689,1,4,Critical,2024-06-21 08:45:00
690,1,2,Medium,2024-06-21 14:45:00
691,1,2,Medium,2024-06-21 20:45:00
692,1,3,High,2024-06-22 02:45:00
693,1,2,Medium,2024-06-22 08:45:00
695,1,1,Low,2024-06-22 20:45:00
697,1,3,High,2024-06-23 08:45:00
698,1,4,Critical,2024-06-23 14:45:00
699,1,2,Medium,2024-06-23 20:45:00
700,1,2,Medium,2024-06-24 02:45:00
701,1,3,High,2024-06-24 08:45:00
702,1,4,Critical,2024-06-24 14:45:00
703,1,2,Medium,2024-06-24 20:45:00
704,1,2,Medium,2024-06-25 02:45:00
705,1,4,Critical,2024-06-25 08:45:00
706,1,3,High,2024-06-25 14:45:00
707,1,1,Low,2024-06-25 20:45:00
708,1,3,High,2024-06-26 02:45:00
709,1,1,Low,2024-06-26 08:45:00
